"filename", "language", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"h:\Project\sns-frontend\src\App.css", "CSS", 0, 37, 0, 0, 6, 43
"h:\Project\sns-frontend\src\App.js", "JavaScript", 0, 0, 45, 0, 11, 56
"h:\Project\sns-frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 2, 9
"h:\Project\sns-frontend\src\components\Header.js", "JavaScript", 0, 0, 32, 0, 2, 34
"h:\Project\sns-frontend\src\components\accountMenu\AccountMenu.js", "JavaScript", 0, 0, 103, 0, 15, 118
"h:\Project\sns-frontend\src\components\addContent\AddContent.js", "JavaScript", 0, 0, 59, 12, 11, 82
"h:\Project\sns-frontend\src\components\addContent\addContent.css", "CSS", 0, 33, 0, 0, 10, 43
"h:\Project\sns-frontend\src\components\body\Body.js", "JavaScript", 0, 0, 125, 0, 18, 143
"h:\Project\sns-frontend\src\components\body\body.css", "CSS", 0, 7, 0, 1, 0, 8
"h:\Project\sns-frontend\src\components\changePassword\ChangePassword.js", "JavaScript", 0, 0, 80, 0, 16, 96
"h:\Project\sns-frontend\src\components\eventsPage\EventCard.js", "JavaScript", 0, 0, 59, 0, 9, 68
"h:\Project\sns-frontend\src\components\eventsPage\EventDropDown.js", "JavaScript", 0, 0, 76, 0, 9, 85
"h:\Project\sns-frontend\src\components\eventsPage\EventPage.js", "JavaScript", 0, 0, 248, 34, 27, 309
"h:\Project\sns-frontend\src\components\groupPage\GroupCard.js", "JavaScript", 0, 0, 49, 0, 9, 58
"h:\Project\sns-frontend\src\components\groupPage\GroupDropDown.js", "JavaScript", 0, 0, 76, 0, 9, 85
"h:\Project\sns-frontend\src\components\groupPage\GroupHead.js", "JavaScript", 0, 0, 34, 0, 5, 39
"h:\Project\sns-frontend\src\components\groupPage\GroupPage.js", "JavaScript", 0, 0, 317, 28, 43, 388
"h:\Project\sns-frontend\src\components\groupPage\GroupPostPage.js", "JavaScript", 0, 0, 10, 0, 5, 15
"h:\Project\sns-frontend\src\components\groupPage\groupStyle.css", "CSS", 0, 8, 0, 0, 0, 8
"h:\Project\sns-frontend\src\components\home\Home.js", "JavaScript", 0, 0, 29, 0, 7, 36
"h:\Project\sns-frontend\src\components\institutionAdminPanel\ContentContainer.js", "JavaScript", 0, 0, 13, 0, 5, 18
"h:\Project\sns-frontend\src\components\institutionAdminPanel\Courses.js", "JavaScript", 0, 0, 166, 1, 21, 188
"h:\Project\sns-frontend\src\components\institutionAdminPanel\Departments.js", "JavaScript", 0, 0, 200, 0, 23, 223
"h:\Project\sns-frontend\src\components\institutionAdminPanel\InstitutionHome.js", "JavaScript", 0, 0, 35, 1, 6, 42
"h:\Project\sns-frontend\src\components\institutionAdminPanel\NavBar.js", "JavaScript", 0, 0, 31, 0, 5, 36
"h:\Project\sns-frontend\src\components\institutionAdminPanel\SideNav.js", "JavaScript", 0, 0, 24, 0, 3, 27
"h:\Project\sns-frontend\src\components\institutionAdminPanel\StudentApprovals.js", "JavaScript", 0, 0, 8, 0, 2, 10
"h:\Project\sns-frontend\src\components\institutionAdminPanel\insHome.css", "CSS", 0, 11, 0, 0, 2, 13
"h:\Project\sns-frontend\src\components\institutionLogin\InstitutionLogin.js", "JavaScript", 0, 0, 78, 0, 16, 94
"h:\Project\sns-frontend\src\components\institutionLogin\InstitutionSignup.js", "JavaScript", 0, 0, 90, 0, 19, 109
"h:\Project\sns-frontend\src\components\institutionLogin\insLogin.css", "CSS", 0, 17, 0, 0, 9, 26
"h:\Project\sns-frontend\src\components\loginPage\LoginPage.js", "JavaScript", 0, 0, 93, 3, 15, 111
"h:\Project\sns-frontend\src\components\loginPage\RegisterPage.js", "JavaScript", 0, 0, 248, 0, 40, 288
"h:\Project\sns-frontend\src\components\loginPage\loginPage.css", "CSS", 0, 140, 0, 2, 28, 170
"h:\Project\sns-frontend\src\components\peerPage\ContactCard.js", "JavaScript", 0, 0, 30, 0, 5, 35
"h:\Project\sns-frontend\src\components\peerPage\CourseCard.js", "JavaScript", 0, 0, 20, 0, 3, 23
"h:\Project\sns-frontend\src\components\peerPage\PeerPage.js", "JavaScript", 0, 0, 44, 0, 6, 50
"h:\Project\sns-frontend\src\components\peerPage\peerPageStyle.css", "CSS", 0, 6, 0, 0, 0, 6
"h:\Project\sns-frontend\src\components\post\AuthorImage.js", "JavaScript", 0, 0, 41, 0, 10, 51
"h:\Project\sns-frontend\src\components\post\CommentDisplay.js", "JavaScript", 0, 0, 14, 0, 4, 18
"h:\Project\sns-frontend\src\components\post\DropdownMenu.js", "JavaScript", 0, 0, 76, 0, 9, 85
"h:\Project\sns-frontend\src\components\post\LikeAndComment.js", "JavaScript", 0, 0, 35, 0, 7, 42
"h:\Project\sns-frontend\src\components\post\LikeCount.js", "JavaScript", 0, 0, 16, 0, 4, 20
"h:\Project\sns-frontend\src\components\post\Post.js", "JavaScript", 0, 0, 55, 0, 8, 63
"h:\Project\sns-frontend\src\components\post\post.css", "CSS", 0, 54, 0, 0, 13, 67
"h:\Project\sns-frontend\src\components\profilePage\PeerProfilePage.js", "JavaScript", 0, 0, 9, 0, 5, 14
"h:\Project\sns-frontend\src\components\profilePage\ProfilePage.js", "JavaScript", 0, 0, 150, 73, 25, 248
"h:\Project\sns-frontend\src\components\profilePage\profile.css", "CSS", 0, 31, 0, 0, 7, 38
"h:\Project\sns-frontend\src\components\utils\AlertBox.js", "JavaScript", 0, 0, 9, 0, 3, 12
"h:\Project\sns-frontend\src\components\utils\DialogBox.js", "JavaScript", 0, 0, 46, 1, 10, 57
"h:\Project\sns-frontend\src\components\utils\FormDialogBox.js", "JavaScript", 0, 0, 24, 0, 8, 32
"h:\Project\sns-frontend\src\components\utils\PrivateRoute.js", "JavaScript", 0, 0, 8, 0, 3, 11
"h:\Project\sns-frontend\src\constants\Constant.js", "JavaScript", 0, 0, 6, 0, 4, 10
"h:\Project\sns-frontend\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"h:\Project\sns-frontend\src\index.js", "JavaScript", 0, 0, 16, 5, 4, 25
"h:\Project\sns-frontend\src\logo.svg", "XML", 1, 0, 0, 0, 0, 1
"h:\Project\sns-frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 2, 14
"h:\Project\sns-frontend\src\resources\images\people_svg.svg", "XML", 1, 0, 0, 0, 0, 1
"h:\Project\sns-frontend\src\resources\images\welcome_svg.svg", "XML", 1, 0, 0, 0, 0, 1
"h:\Project\sns-frontend\src\services\AuthService.js", "JavaScript", 0, 0, 37, 0, 12, 49
"h:\Project\sns-frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 4, 1, 6
"Total", "-", 3, 356, 2984, 165, 563, 4071